airport_id,city,airport_code
1,Aberdeen,ABR
2,Abilene,ABI
3,Akron,CAK
4,Alamosa,ALS
5,Albany,ABY
6,Albany,ALB
7,Albuquerque,ABQ
8,Alexandria,AEX
9,Allentown,ABE
10,Alliance,AIA
11,Alpena,APN
12,Altoona,AOO
13,Amarillo,AMA
14,Anchorage,ANC
15,Appleton,ATW
16,Asheville,AVL
17,Aspen,ASE
18,Athens,AHN
19,Atlanta,ATL
20,Atlantic City,ACY
21,Augusta,AGS
22,Augusta,AUG
23,Austin,AUS
24,Bakersfield,BFL
25,Baltimore,BWI
26,Bangor,BGR
27,Bar Harbor,BHB
28,Barrow,BRW
29,Baton Rouge,BTR
30,Beaumont,BPT
31,Beckley,BKW
32,Bedford,BED
33,Bellingham,BLI
34,Bemidji,BJI
35,Bethel,BET
36,Bettles,BTT
37,Billings,BIL
38,Binghamton,BGM
39,Birmingham,BHM
40,Bismarck,BIS
41,Bloomington,BMI
42,Bloomington,BMG
43,Bluefield,BLF
44,Boise,BOI
45,Boston,BOS
46,Bozeman,BZN
47,Brookings,BKX
48,Brownsville,BRO
49,Brunswick,BQK
50,Buffalo,BUF
51,Burbank,BUR
52,Burlington,BRL
53,Burlington,BBF
54,Burlington,BTV
55,Busan,PUS
56,Butte,BTM
57,Cape Girardeau,CGI
58,Carlsbad,CLD
59,Carlsbad,CNM
60,Casper,CPR
61,Cedar Rapids,CID
62,Champaign,CMI
63,Charleston,CHS
64,Charleston,CRW
65,Charlotte,CLT
66,Charlottesville,CHO
67,Chattanooga,CHA
68,Cheyenne,CYS
69,Chicago,CHI 
70,Chicago,MDW
71,Chicago,ORD
72,Chico,CIC
73,Cincinnati,CVG
74,Clarksburg,CKB
75,Cleveland,CLE
76,Clovis,CVN
77,Cody,COD
78,College Station,CLL
79,Colorado Springs,COS
80,Columbia,COU
81,Columbia,CAE
82,Columbus,CSG
83,Columbus,CLU
84,Columbus,GTR
85,Columbus,OLU
86,Columbus,CMH
87,Cordova,CDV
88,Corpus Christi,CRP
89,Dallas,DAL
90,Dallas,DFW
91,Dayton,DAY
92,Daytona Beach,DAB
93,Decatur,DEC
94,Denver,DEN
95,Des Moines,DSM
96,Detroit,DTT 
97,Detroit,DTW
98,Devils Lake,DVL
99,Dickinson,DIK
100,Dillingham,DLG
101,Dodge City,DDC
102,Dothan,DHN
103,Du Bois,DUJ
104,Dubuque,DBQ
105,Duluth,DLH
106,Durango,DRO
107,Dutch Harbor,DUT
108,Eau Claire,EAU
109,Eek,EEK
110,El Centro,IPL
111,El Dorado,ELD
112,El Paso,ELP
113,Elko,EKO
114,Elmira,ELM
115,Enid,WDG
116,Erie,ERI
117,Escanaba,ESC
118,Eugene,EUG
119,Eureka,ACV
120,Evansville,EVV
121,Fairbanks,FAI
122,Fargo,FAR
123,Farmington,FMN
124,Fayetteville,XNA
125,Fayetteville,FAY
126,Flagstaff,FLG
127,Flint,FNT
128,Florence,FLO
129,Fort Dodge,FOD
130,Fort Lauderdale,FLL
131,Fort Leonard Wood,TBN
132,Fort Myers,RSW
133,Fort Smith,FSM
134,Fort Walton Beach,VPS
135,Fort Wayne,FWA
136,Fort Yukon,FYU
137,Fresno,FAT
138,Gainesville,GNV
139,Garden City,GCK
140,Gillette,GCC
141,Glendive,GDV
142,Grand Forks,GFK
143,Grand Island,GRI
144,Grand Junction,GJT
145,Grand Rapids,GRR
146,Great Bend,GBD
147,Great Falls,GTF
148,Green Bay,GRB
149,Greenbrier,LWB
150,Greensboro,GSO
151,Greenville,GLH
152,Greenville,PGV
153,Greenville,GSP
154,Gulfport,GPT
155,Gunnison,GUC
156,Hagerstown,HGR
157,Hana Maui,HNM
158,Hancock,CMX
159,Harlingen,HRL
160,Harrisburg,MDT
161,Harrison,HRO
162,Hartford,BDL
163,Havre,HVR
164,Hays,HYS
165,Helena,HLN
166,Hibbing,HIB
167,Hilo,Big
168,Hilton Head Island,HHH
169,Hobbs,HOB
170,Homer,HOM
171,Honolulu,HNL
172,Hoolehua,MKK
173,Hot Springs,HOT
174,Houston,EFD
175,Houston,HOU
176,Houston,IAH
177,Huntington,HTS
178,Huntsville,HSV
179,Huron,HON
180,Hyannis,HYA
181,Idaho Falls,IDA
182,Indianapolis,IND
183,International Falls,INL
184,Inyokern,IYK
185,Iron Mountain,IMT
186,Ironwood,IWD
187,Islip,ISP
188,Ithaca,ITH
