hotel_id,city,name,address,postalcode
1,Abilene,Americas Best Value Inn Suites-Abilene Mall,3165 S Danville Dr,79605
2,Abilene,Western Motel,3201 S 1st St,79605
3,Abingdon,Alpine Motel,882 E Main St,24210
4,Acworth,Econo Lodge,4980 Cowan Rd,30101
5,Aiken,Hotel Aiken,235 Richland Ave W,29801
6,Ainsworth,Rodeway Inn,1124 E 4th St,69210
7,Airway Heights,Days Inn & Suites Spokane Airport Airway Heights,1215 S Garfield Rd,99001
8,Akron,Hilton Garden Inn Akron,1307 E Market St,44305
9,Albany,Best Western Plus-prairie Inn,1100 Price Rd Se,97322
10,Albany,Ramada Plaza Albany,3 Watervliet Ave. Ext.,12206
11,Albert Lea,Americas Best Value Inn Albert Lea,2306 E Main St,56007
12,Albert Lea,Comfort Inn,810 Happy Trails Ln,56007
13,Albert Lea,Motel 6-albert Lea,2019 E Main St,56007
14,Albuquerque,Best Western Plus Executive Suites,4630 Pan American Fwy NE,87109
15,Albuquerque,Cinnamon Morning Bed & Breakfast,2700 Rio Grande Blvd Nw,87104
16,Albuquerque,Hiway House Motel,3200 Central Ave SE,87106
17,Albuquerque,Holiday Inn Express Albuquerque (I-40 Eubank),10330 Hotel Ave Ne,87123
18,Albuquerque,Home2 Suites by Hilton Albuquerque/Downtown-University,1660 University Blvd NE,87102
19,Albuquerque,Ramada Albuquerque East,25 Hotel Cir NE,87123
20,Alexandria,Best Western Of Alexandria Inn & Suites & Conference Center,2720 N MacArthur Dr,71303
21,Alexandria,"Extended Stay America Washington, D.C. - Alexandria-Landmark",205 N Breckinridge Pl,22312
22,Alexandria,"Red Roof Plus+ Washington, DC - Alexandria",5975 Richmond Hwy,22303
23,Algoma,Algoma Beach Motel,1500 Lake St,54201
24,Algoma,Hotel Stebbins,201 Steele St,54201
25,Allentown,Comfort Inn-lehigh Valley West,7625 Imperial Way,18106
26,Allentown,Red Roof Inn Allentown Airport,1846 Catasauqua Rd,18109
27,Alpharetta,Holiday Inn Express Alpharetta - Roswell,2950 Mansell Rd,30022
28,Alpharetta,Wingate By Wyndham Alpharetta,1005 Kingswood Pl,30009
29,Alton,Super 8 Alton,1800 Homer M Adams Pkwy,62002
30,Altoona,Hampton Inn & Suites Altoona-des Moines,215 Adventureland Dr Nw,50009
31,Altoona,Relax Inn Altoona,2752 E Pleasant Valley Blvd,16601
32,Alvarado,Comfort Inn Suites,400 Village Park Dr,76009
33,Amarillo,Comfort Suites,12 Western Plaza Dr,79109
34,Amarillo,Holiday Inn Express & Suites Amarillo West,8330 W Amarillo Blvd,79124
35,Amarillo,Wyndham Garden-amarillo,3100 W Interstate 40,79102
36,Ames,"Country Inn & Suites By Carlson, Ames, IA",2605 SE 16th St,50010
37,Ames,Days Inn Ames,229 S Duff Ave,50010
38,Ames,Holiday Inn Ames Conference Center At Isu,2609 University Blvd,50010
39,Anaheim,Best Western Courtesy Inn,1070 W Ball Rd,92802-1804
40,Anaheim,Clarion Hotel Anaheim Resort,616 Convention Way,92802
41,Anaheim,Eden Roc Inn & Suites,1830 S West St,92802-3407
42,Anaheim,Holiday Inn Anaheim-Resort Area,1915 S Manchester Ave,92802-3802
43,Anaheim,Pacific Inn,426 S Beach Blvd,92804-1861
44,Anaheim,Park Vue Inn,1570 S Harbor Blvd,92802-2383
45,Anaheim,Quality Inn & Suites Anaheim Maingate,871 S Harbor Blvd,92805-5157
46,Anaheim,TownePlace Suites Anaheim Maingate Near Angel Stadium,1730 S State College Blvd,92806-6022
47,Anchorage,Americas Best Value Inn - Executive Suite Airport,4360 Spenard Rd.,99517
48,Anchorage,Aviator Hotel Anchorage,239 W 4th Ave,99501
49,Anchorage,Royal Suite Lodge,3811 Minnesota Dr,99503-5679
50,Anderson,Comfort Suites,118 Interstate Blvd,29621
51,Anderson,Super 8 Anderson,2215 E 59th St,46013
52,Andover,Courtyard Boston Andover,10 Campanelli Dr,1810
53,Ankeny,Ramada-ankeny,133 Se Delaware Ave,50021
54,Ann Arbor,Comfort Inn Suites,2376 Carpenter Rd,48108
55,Ann Arbor,Extended Stay America - Detroit/Ann Arbor - University South,3265 Boardwalk St,48108
56,Annapolis,"Country Inn & Suites By Carlson, Annapolis,",2600 Housley Rd,21401
57,Annapolis,Courtyard Annapolis,2559 Riva Rd,21401
58,Annapolis,Residence Inn Annapolis,170 Admiral Cochrane Dr,21401
59,Appleton,Best Western Appleton Inn,3033 W College Ave,54914
60,Appleton,Copperleaf Hotel,300 W College Ave,54911
61,Appleton,Fairfield Inn Appleton,132 N Mall Dr,54913
62,Ardmore,Hampton Inn Suites Ardmore,526 Railway Express St,73401
63,Ardmore,Lexington Inn - Ardmore,136 Holiday Dr,73401
64,Ardmore,Motel 6 Ardmore,120 Holiday Dr,73401
65,Arkansas City,Americas Best Value Inn-arkansas City,1617 N Summit St,67005
66,Arlington,Admiral Hotel,1507 N Watson Rd,76006
67,Arlington,Americana Hotel,1400 Jefferson Davis Hwy,22202
68,Arlington,Comfort Inn Ballston,1211 N Glebe Rd,22201
69,Arlington,Embassy Suites by Hilton Crystal City National Airport,1300 Jefferson Davis Hwy,22202
70,Arlington,Hampton Inn Suites Dallas-Arlington North-Entertainment District,2200 Brookhollow Plaza Dr,76006
71,Arlington,"The Ritz-Carlton, Pentagon City",1250 South Hayes Street,22202
72,Arlington,"The Virginian Suites, an Ascend Hotel Collection Member",1500 Arlington Blvd,22209
73,Ashburn,Best Western-ashburn Inn,820 Shoneys Dr,31714
74,Asheboro,Comfort Inn,825 W Dixie Dr,27205
75,Asheboro,Fairfield Inn and Suites Asheboro,920 Executive Way,27203
76,Asheville,Comfort Suites Outlet Center,890 Brevard Rd,28806
77,Ashland,Fairfield Inn and Suites Ashland,10945 Route 60,41102
78,Ashland,Quality Inn Suites,107 N Carter Rd,23005
79,Ashton,Anglers Inn,112 Main St,83420
80,Atascadero,Rancho Tee Motel,6895 El Camino Real,93422
81,Atascadero,SpringHill Suites Paso Robles Atascadero,900 El Camino Real,93422
82,Athens,Comfort Inn,2811 Decatur Pike,37303
83,Athens,"Country Inn & Suites By Carlson, Athens, Ga",236 Old Epps Bridge Rd,30606
84,Athens,Hampton Inn-athens,2220 W Broad St,30606
85,Atlanta,Courtyard Atlanta Airport South/Sullivan Road,2050 Sullivan Rd,30337
86,Atlanta,Days Inn College Park Airport Best Road,4505 Best Rd,30337
87,Atlanta,Drury Inn & Suites Atlanta Airport,1270 Virginia Ave,30344-5228
88,Atlanta,Extended Stay America - Atlanta - Clairmont,3115 Clairmont Rd NE,30329-1015
89,Atlanta,Extended Stay America - Atlanta - Perimeter - Hammond Drive,1050 Hammond Dr,30328-5329
90,Atlanta,Hampton Inn Atlanta-Perimeter Center,769 Hammond Dr,30328-6118
91,Atlanta,Hampton Inn Atlanta-cumberland Mall/nw,2775 Cumberland Pkwy Se,30339
92,Atlanta,Hilton Garden Inn Atlanta Downtown,275 Baker St NW,30313-1801
93,Atlanta,Hyatt Place Atlanta Airport-South,1899 Sullivan Rd,30337
94,Atlanta,Le Meridien Atlanta Perimeter,111 Perimeter Ctr W,30346
95,Atlanta,Motel 6 Atlanta Downtown,311 Courtland St NE,30303-1212
96,Atlanta,Park 75 Lounge and Terrace,75 14th St NE,30309
97,Atlanta,Quality Inn & Suites,3900 Fulton Industrial Blvd SW,30336-1731
98,Atlanta,SpringHill Suites Atlanta Buckhead,3459 Buckhead Loop NE,30326
99,Atlanta,The St. Regis Atlanta,88 W Paces Ferry Rd NW,30305-1444
100,Atlantic City,Best Western Envoy Inn,1416 Pacific Ave,08401-8011
101,Atlantic City,Martinique Motel,3029 Pacific Ave,08401-6207
102,Atlantic City,Rodeway Inn Boardwalk,124 S North Carolina Ave,08401-7318
103,Atlantic City,Rodeway Inn Oceanview,3200 Pacific Ave,08401-6231
104,Atlantic City,The Annex at The Chelsea,111 S Chelsea Ave,08401-6222
105,Auburn,Americas Best Value Inn,170 Center St,4210
106,Auburn,Auburn Travelodge Inn & Suites,9 16th St Nw,98001
107,Augusta,Comfort Suites,2911 Riverwest Dr,30907
108,Augusta,Hampton Inn Augusta/Gordon Highway,2171 Gordon Hwy,30909
109,Augusta,Super 8 Augusta,3026 Washington Rd,30907
110,Augusta,The Bunkhouse Inn,122 Main St,59410
111,Aurora,Riviera Motel,9100 E Colfax Ave,80010
112,Aurora,The Bertram Inn & Conference Center,600 N Aurora Rd,44202
113,Austin,Austin Motel,1220 S Congress Ave,78704
114,Austin,Courtyard Austin South,4533 S Interstate 35,78744
115,Austin,Drury Inn Suites Austin North,6711 N Interstate 35,78752
116,Austin,Fairfield Inn Suites Austin-University Area,959 Reinli St,78751
117,Austin,Holiday Inn Express & Suites Austin South,701 E Stassney Ln,78745
118,Austin,Home2 Suites by Hilton Austin North/Near the Domain,2800 Esperanza Xing,78758
119,Austin,Homewood Suites by Hilton Austin Arboretum / NW,10925 Stonelake Blvd,78759
120,Austin,South Congress Hotel,1603 S Congress Ave,78704
121,Austin,W Austin,200 Lavaca St,78701
122,Austinburg,Hampton Inn Ashtabula,2900 G.H. Drive,44010
123,Avalon,Concord Suites,7800 Dune Dr,8202
124,Avon,"The Pines Lodge, A RockResort",141 Scott Hill Rd,81620
125,Avon Park,Oak Tree Inn,700 US Highway 27 S,33825
126,Baileys Harbor,Kangaroo Lake Resort,2799 S Kangaroo Lake Dr,54202
127,Bainbridge Island,Island Country Inn,920 Hildebrand Ln Ne,98110
128,Ballinger,Ballinger Inn,2101 Hutchins Ave,76821
129,Balmorhea,The Eleven Inn,504 S Main St,79718
130,Baltimore,Hampton Inn and Suites Baltimore Inner Harbor,131 East Redwood Street,21202
131,Baltimore,Home2 Suites by Hilton Baltimore Downtown,8 East Pleasant Street,21202
132,Baltimore,Homewood Suites by Hilton Baltimore,625 South President Street,21202
133,Baltimore,Hyatt Place Baltimore/Inner Harbor,511 S Central Ave,21202
134,Baltimore,"Pier 5 Hotel Baltimore, Curio Collection by Hilton",711 Eastern Avenue,21202
135,Baltimore,"The Brookshire Suites Inner Harbor, BW Premier Collection",120 E Lombard St,21202
136,Bar Harbor,Acadia Suites,7 Cromwell Ln,4609
137,Bar Harbor,Bar Harbor Motel,100 Eden St,4609
138,Bar Harbor,Quality Inn,40 Kebo St,4609
139,Bar Harbor,Robbins Motel,396 State Highway 3,4609
140,Bar Harbor,West Street Hotel,50 West St,4609
141,Baraboo,Campus Inn Motel,750 W Pine St,53913
142,Bardstown,Comfort Inn,984 Frost Ave,40004
143,Barstow,Desert Inn Motel,1100 E Main St,92311
144,Barstow,Nites Inn,1261 W Main St,92311
145,Basalt,Element Basalt - Aspen,499 Market St,81621
146,Bass Harbor,Bass Harbor Cottages and Country Inn,95 Harbor Dr,4653
147,Baton Rouge,Baton Rouge Marriott,5500 Hilton Ave,70808
148,Baton Rouge,Best Western Plus Richmond Inn & Suites-Baton Rouge,2683 Energy Dr,70808
149,Baton Rouge,Holiday Inn Express & Suites Baton Rouge East,10989 Siegen Holiday Cir,70809
150,Beachwood,Courtyard Cleveland Beachwood,3695 Orange Pl,44122-4401
151,Bear,Best Western Plus Newark/christiana Inn,875 Pulaski Hwy,19701
152,Beaver,The Cabins At Pinehaven,242 Log Cabin Rd,25813
153,Beaver Island,Emerald Isle Hotel,37985 Kings Hwy,49782
154,Beaverton,Comfort Inn & Suites West,13455 SW Tualatin Valley Hwy,97005
155,Beckley,Howard Johnson Express Inn-beckley,1907 Harper Rd,25801
156,Beckley,Travelodge-beckley,1939 Harper Rd,25801
157,Bedford,Hampton Inn Bedford,4235 Business 220,15522
158,Bedford,Quality Inn Bedford,4407 Business 220,15522
159,Beebe,Economy Inn,2003 W Dewitt Henry Dr,72012
160,Belfast,Admiral's Ocean Inn,222 Searsport Ave,4915
161,Bend,Chalet Motel,510 Se 3rd St,97702
162,Bend,Hampton Inn & Suites Bend,730 Sw Columbia St,97702
163,Bend,Oxford Hotel,10 Nw Minnesota Ave,97703
164,Benkelman,Circle B Motor Lodge,1101 W Highway 34,69021
165,Benton,Central Park Hotel,976 Central Rd,17814
166,Benton Harbor,Hilton Garden Inn,1300 Cinema Way,49022
167,Bentonville,Simmons Suites,3001 Ne 11th St,72712
168,Berkeley,Bancroft Hotel,2680 Bancroft Way,94704
169,Bethlehem,Hearthside Village Cottage Motel,1267 Main St,3574
170,Bethlehem,Historic Hotel Bethlehem,437 Main St,18018
171,Bethlehem,Holiday Inn Express & Suites Bethlehem,2201 Cherry Ln,18015
